"sequence","support","pattern"
"<{M},{E},{K}>",0.00393997820437589,3
"<{U},{H}>",0.00392600665045966,2
"<{B},{T},{C}>",0.00391203509654344,3
"<{C,F}>",0.00389806354262721,2
"<{F},{E},{T}>",0.00389806354262721,3
"<{E},{A},{M}>",0.00389806354262721,3
"<{M},{S},{I}>",0.00389806354262721,3
"<{G},{H}>",0.00389806354262721,2
"<{T},{K},{B}>",0.00389806354262721,3
"<{B},{C},{A}>",0.00389806354262721,3
"<{B},{T},{F}>",0.00388409198871098,3
"<{H},{T},{A}>",0.00388409198871098,3
"<{T,K}>",0.00387012043479476,2
"<{H},{U}>",0.00387012043479476,2
"<{M},{B},{K}>",0.00387012043479476,3
"<{T},{A},{K}>",0.00385614888087853,3
"<{F},{C},{D}>",0.00382820577304608,3
"<{C,K}>",0.00381423421912985,2
"<{C},{N}>",0.00380026266521363,2
"<{K},{G}>",0.00380026266521363,2
"<{T},{N}>",0.0037862911112974,2
"<{A},{B},{C}>",0.0037862911112974,3
"<{T},{K},{A}>",0.0037862911112974,3
"<{C},{E},{F}>",0.00377231955738117,3
"<{M},{S},{A}>",0.00377231955738117,3
"<{K},{F},{M}>",0.00375834800346495,3
"<{A},{C},{I}>",0.00375834800346495,3
"<{T},{C},{D}>",0.00375834800346495,3
"<{F},{E},{C}>",0.00375834800346495,3
"<{C},{K},{B}>",0.00375834800346495,3
"<{K},{C},{A}>",0.00375834800346495,3
"<{G},{B}>",0.00374437644954872,2
"<{K},{M},{A}>",0.00373040489563249,3
"<{A},{K},{T}>",0.00371643334171627,3
"<{M},{T},{C},{F}>",0.00371643334171627,4
"<{C},{S},{I}>",0.00370246178780004,3
"<{A},{T},{E}>",0.00370246178780004,3
"<{H},{M},{C}>",0.00370246178780004,3
"<{M},{F},{C},{T}>",0.00368849023388381,4
"<{A},{N}>",0.00367451867996759,2
"<{T},{C},{E}>",0.00367451867996759,3
"<{M},{C},{U}>",0.00366054712605136,3
"<{E},{F},{M}>",0.00366054712605136,3
"<{E},{T},{H}>",0.00366054712605136,3
"<{M},{T},{G}>",0.00366054712605136,3
"<{M},{C},{G}>",0.00366054712605136,3
"<{A},{B},{F}>",0.00366054712605136,3
"<{F,C}>",0.00364657557213513,2
"<{K},{M},{T}>",0.00364657557213513,3
"<{E},{T},{M}>",0.00364657557213513,3
"<{C},{S},{M}>",0.00364657557213513,3
"<{A},{B},{T}>",0.00363260401821891,3
"<{M},{T},{I}>",0.00363260401821891,3
"<{K},{F},{C}>",0.00363260401821891,3
"<{I},{S}>",0.00361863246430268,2
"<{M},{H},{S}>",0.00361863246430268,3
"<{K},{I}>",0.00361863246430268,2
"<{K},{C},{H}>",0.00361863246430268,3
"<{H},{T},{B}>",0.00361863246430268,3
"<{G},{A}>",0.00361863246430268,2
"<{C,H}>",0.00360466091038645,2
"<{M},{A},{D}>",0.00360466091038645,3
"<{K},{T},{M}>",0.00359068935647023,3
"<{M},{D},{F}>",0.00359068935647023,3
"<{C},{F},{E}>",0.003576717802554,3
"<{F},{B},{K}>",0.00356274624863777,3
"<{A},{F},{E}>",0.00356274624863777,3
"<{C},{T},{D}>",0.00356274624863777,3
"<{T},{E},{A}>",0.00354877469472155,3
"<{B},{M},{T}>",0.00353480314080532,3
"<{M},{B},{S}>",0.00353480314080532,3
"<{A},{S},{M}>",0.00352083158688909,3
"<{M},{C},{F},{T}>",0.00350686003297287,4
"<{D},{E}>",0.00350686003297287,2
"<{B},{F},{T}>",0.00349288847905664,3
"<{C},{M},{I}>",0.00349288847905664,3
"<{E},{F},{H}>",0.00349288847905664,3
"<{P},{F}>",0.00349288847905664,2
"<{F},{S},{T}>",0.00347891692514041,3
"<{C},{B},{K}>",0.00347891692514041,3
"<{B},{U}>",0.00345097381730796,2
"<{E},{C},{B}>",0.00345097381730796,3
"<{B},{M},{C}>",0.00343700226339173,3
"<{B},{M},{F}>",0.00342303070947551,3
"<{F},{T},{D}>",0.00342303070947551,3
"<{C},{B},{S}>",0.00340905915555928,3
"<{K},{F},{H}>",0.00339508760164305,3
"<{M},{F},{G}>",0.00339508760164305,3
"<{F,T}>",0.00338111604772683,2
"<{B},{F},{M}>",0.00338111604772683,3
"<{A},{K},{F}>",0.00338111604772683,3
"<{A},{E},{M}>",0.0033671444938106,3
"<{H,K}>",0.00335317293989438,2
"<{C},{T},{I}>",0.00335317293989438,3
"<{C},{H},{S}>",0.00333920138597815,3
"<{M},{S},{H}>",0.00333920138597815,3
"<{F},{T},{G}>",0.00333920138597815,3
"<{A},{C},{U}>",0.00332522983206192,3
"<{C},{S},{H}>",0.00332522983206192,3
"<{C},{T},{E}>",0.00332522983206192,3
"<{K},{F},{A}>",0.00332522983206192,3
"<{I},{H}>",0.0033112582781457,2
"<{T},{B},{K}>",0.00329728672422947,3
"<{C},{F},{D}>",0.00329728672422947,3
"<{M},{D},{C}>",0.00329728672422947,3
"<{H},{T},{K}>",0.00326934361639702,3
"<{E},{M},{H}>",0.00326934361639702,3
"<{C},{F},{I}>",0.00325537206248079,3
"<{T},{E},{C}>",0.00325537206248079,3
